Type,seq_len,pred_len
groundtruth_10_2,"[261.91, 260.74, 259.75, 258.62, 260.04, 259.04, 264.75, 262.32, 266.0, 258.42]","[259.27, 256.46]"
baseline,"[261.91, 260.74, 259.75, 258.62, 260.04, 259.04, 264.75, 262.32, 266.0, 258.42]","[261.90, 253.88]"
proposed,"[261.91, 260.74, 259.75, 258.62, 260.04, 259.04, 264.75, 262.32, 266.0, 258.42]","[261.54, 254.24]"

groundtruth_20_4,"[262.26, 264.63, 266.99, 265.15, 265.88, 265.58, 267.99, 269.3, 276.8, 271.38, 277.97, 275.54, 278.27, 281.97, 285.9, 283.16, 289.94, 291.84, 293.88, 293.94]","[296.14, 297.25, 297.9, 295.03]"
baseline,"[262.26, 264.63, 266.99, 265.15, 265.88, 265.58, 267.99, 269.3, 276.8, 271.38, 277.97, 275.54, 278.27, 281.97, 285.9, 283.16, 289.94, 291.84, 293.88, 293.94]","[287.26, 285.36, 290.45, 282.64]"
proposed,"[262.26, 264.63, 266.99, 265.15, 265.88, 265.58, 267.99, 269.3, 276.8, 271.38, 277.97, 275.54, 278.27, 281.97, 285.9, 283.16, 289.94, 291.84, 293.88, 293.94]","[290.51, 290.71, 290.45, 288.54]"

groundtruth_30_6,"[192.38, 195.45, 196.44, 199.08, 198.33, 199.17, 199.44, 202.23, 199.98, 198.89, 199.62, 197.46, 197.75, 198.59, 201.81, 201.48, 202.37, 203.96, 206.27, 206.44, 206.23, 208.51, 209.0, 208.24, 210.88, 210.28, 212.14, 212.18, 212.46, 233.45]","[241.0, 241.27, 242.46, 239.44, 237.95, 238.25]"
baseline,"[192.38, 195.45, 196.44, 199.08, 198.33, 199.17, 199.44, 202.23, 199.98, 198.89, 199.62, 197.46, 197.75, 198.59, 201.81, 201.48, 202.37, 203.96, 206.27, 206.44, 206.23, 208.51, 209.0, 208.24, 210.88, 210.28, 212.14, 212.18, 212.46, 233.45]","[234.25, 233.79, 236.16, 231.78, 232.00, 231.10]"
proposed,"[192.38, 195.45, 196.44, 199.08, 198.33, 199.17, 199.44, 202.23, 199.98, 198.89, 199.62, 197.46, 197.75, 198.59, 201.81, 201.48, 202.37, 203.96, 206.27, 206.44, 206.23, 208.51, 209.0, 208.24, 210.88, 210.28, 212.14, 212.18, 212.46, 233.45]","[235.94, 236.69, 237.13, 234.65, 232.48, 233.25]"

groundtruth_40_8,"[258.58, 258.39, 260.93, 261.44, 261.91, 260.74, 259.75, 258.62, 260.04, 259.04, 264.75, 262.32, 266.0, 258.42, 259.27, 256.46, 259.25, 257.98, 258.5, 262.63, 261.75, 264.07, 266.13, 265.57, 262.7, 260.85, 262.42, 261.76, 262.86, 263.7, 262.26, 264.63, 266.99, 265.15, 265.88, 265.58, 267.99, 269.3, 276.8, 271.38]","[277.97, 275.54, 278.27, 281.97, 285.9, 283.16, 289.94, 291.84]"
baseline,"[258.58, 258.39, 260.93, 261.44, 261.91, 260.74, 259.75, 258.62, 260.04, 259.04, 264.75, 262.32, 266.0, 258.42, 259.27, 256.46, 259.25, 257.98, 258.5, 262.63, 261.75, 264.07, 266.13, 265.57, 262.7, 260.85, 262.42, 261.76, 262.86, 263.7, 262.26, 264.63, 266.99, 265.15, 265.88, 265.58, 267.99, 269.3, 276.8, 271.38]","[269.63, 266.72, 270.20, 273.23, 277.89, 274.10, 281.54, 282.79]"
proposed,"[258.58, 258.39, 260.93, 261.44, 261.91, 260.74, 259.75, 258.62, 260.04, 259.04, 264.75, 262.32, 266.0, 258.42, 259.27, 256.46, 259.25, 257.98, 258.5, 262.63, 261.75, 264.07, 266.13, 265.57, 262.7, 260.85, 262.42, 261.76, 262.86, 263.7, 262.26, 264.63, 266.99, 265.15, 265.88, 265.58, 267.99, 269.3, 276.8, 271.38]","[271.85, 269.75, 271.87, 275.77, 279.04, 276.65, 283.83, 285.42]"

groundtruth_50_10,"[177.37, 178.85, 177.56, 178.57, 176.05, 175.62, 179.02, 177.85, 178.4, 179.3, 180.38, 182.06, 183.51, 181.71, 183.22, 184.83, 182.39, 183.44, 183.39, 183.07, 185.01, 186.02, 186.91, 183.18, 183.94, 183.25, 182.39, 182.7, 178.78, 177.4, 180.76, 183.67, 183.49, 185.25, 187.07, 186.59, 186.88, 187.63, 187.32, 190.23, 188.95, 186.75, 188.1, 189.93, 190.03, 190.0, 191.09, 192.38, 195.45, 196.44]","[199.08, 198.33, 199.17, 199.44, 202.23, 199.98, 198.89, 199.62, 197.46, 197.75]"
baseline,"[177.37, 178.85, 177.56, 178.57, 176.05, 175.62, 179.02, 177.85, 178.4, 179.3, 180.38, 182.06, 183.51, 181.71, 183.22, 184.83, 182.39, 183.44, 183.39, 183.07, 185.01, 186.02, 186.91, 183.18, 183.94, 183.25, 182.39, 182.7, 178.78, 177.4, 180.76, 183.67, 183.49, 185.25, 187.07, 186.59, 186.88, 187.63, 187.32, 190.23, 188.95, 186.75, 188.1, 189.93, 190.03, 190.0, 191.09, 192.38, 195.45, 196.44]","[198.2,197.0,195.5,197.5,196.0,198.5,200.0,198.0,200.5,198.5]"
