Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss
1,0.5662124899124176,1.3103535214988449,0.47963062985699706,0.47666986711430465
1,0.5590405207512105,1.3103535214988449,0.47963062985699706,0.47666986711430465
2,0.507660873277996,1.339179552180304,0.47811641724002985,0.47630250638873456
2,0.5010260610530773,1.339179552180304,0.47811641724002985,0.47630250638873456
3,0.49512546118611184,1.3042743590881498,0.48143303446243885,0.47828809724008436
3,0.4947078343778149,1.3042743590881498,0.48143303446243885,0.47828809724008436
4,0.4917613202399911,1.3413803257959351,0.46409773677855515,0.4655547772916101
4,0.49788938198640875,1.3413803257959351,0.46409773677855515,0.4655547772916101
5,0.48581542261819327,1.267571487229505,0.44425431930413134,0.4540103802846061
5,0.48419727425270237,1.267571487229505,0.44425431930413134,0.4540103802846061
6,0.4759915523545843,1.3133366262312416,0.4612374687466851,0.46544172330725964
6,0.4787073122083861,1.3133366262312416,0.4612374687466851,0.46544172330725964
7,0.4661139337424661,1.3091614516518957,0.459834648916002,0.46345518049683504
7,0.46828967124713416,1.3091614516518957,0.459834648916002,0.46345518049683504
8,0.46113470077794483,1.3195500066168875,0.45112321917436643,0.45717335202925496
8,0.4518951016342696,1.3195500066168875,0.45112321917436643,0.45717335202925496
9,0.4485056675410886,1.3313263151928676,0.4427760230618522,0.4518896812077263
9,0.4434167203174231,1.3313263151928676,0.4427760230618522,0.4518896812077263
10,0.442079418325718,1.3413134389858452,0.4494942751237386,0.4533273679532593
10,0.4351163332573545,1.3413134389858452,0.4494942751237386,0.4533273679532593
11,0.43979189192500195,1.3411893640919554,0.4493266215125809,0.453254220886625
11,0.4336764235049486,1.3411893640919554,0.4493266215125809,0.453254220886625
12,0.43743403575125156,1.3304083581022221,0.4449796532180241,0.4535825193035517
12,0.4350207832777444,1.3304083581022221,0.4449796532180241,0.4535825193035517
13,0.4373078331561156,1.34792797556884,0.4447880457791922,0.45192838984159683
13,0.4393902948134942,1.34792797556884,0.4447880457791922,0.45192838984159683
14,0.436595745856913,1.3639255053491044,0.45646448323516536,0.46240576608575507
14,0.4435041135290699,1.3639255053491044,0.45646448323516536,0.46240576608575507
15,0.44366606904692213,1.3760163759370503,0.46075202643924906,0.4629317251898402
15,0.44510654103832903,1.3760163759370503,0.46075202643924906,0.4629317251898402
