seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
30,15,6,1,0.34801536330154964,0.19794850945472717,0.23719230836088007,0.33759431838989257,"tensor(38.8579, device='cuda:0')","tensor(2.6831, device='cuda:0')"
30,15,6,2,0.3346877185361726,0.17297934591770173,0.23027893088080667,0.3406183302402496,"tensor(37.4743, device='cuda:0')","tensor(2.9368, device='cuda:0')"
30,15,6,3,0.3277523506964956,0.15977515727281572,0.2238972546024756,0.3160762220621109,"tensor(33.2573, device='cuda:0')","tensor(3.1487, device='cuda:0')"
30,15,6,4,0.3007842031972749,0.09632988423109054,0.1995514692230658,0.24493455588817598,"tensor(45.7784, device='cuda:0')","tensor(1.4444, device='cuda:0')"
30,15,6,5,0.270667867575373,0.08525680005550385,0.19283743896944958,0.2340811550617218,"tensor(19.2187, device='cuda:0')","tensor(2.7783, device='cuda:0')"
30,15,6,6,0.24847143547875541,0.08044582679867744,0.1929807122796774,0.22170940935611724,"tensor(19.6263, device='cuda:0')","tensor(1.7649, device='cuda:0')"
30,15,6,7,0.24693891959530967,0.07506106719374657,0.1924359637566588,0.21663850247859956,"tensor(30.9248, device='cuda:0')","tensor(1.4350, device='cuda:0')"
30,15,6,8,0.24422149062156678,0.07680836766958236,0.19254172830419106,0.21926987767219544,"tensor(17.0001, device='cuda:0')","tensor(2.4144, device='cuda:0')"
30,15,6,9,0.24095459410122463,0.07595746740698814,0.192791762677106,0.21628073155879973,"tensor(23.5221, device='cuda:0')","tensor(1.7923, device='cuda:0')"
30,15,6,10,0.2417716926762036,0.07395301461219787,0.19269319047982042,0.21394704580307006,"tensor(19.6258, device='cuda:0')","tensor(2.2925, device='cuda:0')"
