data
57.0
59.46
60.94
60.43
60.18
59.75
60.82
60.62
58.96
59.3
59.8
59.58
59.47
59.7
59.68
58.83
59.56
59.51
60.59
60.89
61.15
61.46
60.97
60.96
60.52
60.29
59.62
59.75
59.67
59.69
59.9
57.49
57.08
55.59
56.02
56.11
56.45
56.8
56.49
56.66
56.8
56.84
56.67
57.2
56.45
56.91
57.15
57.12
56.25
56.45
56.08
57.57
57.41
57.76
57.72
58.74
59.08
59.27
59.96
59.8
