data
51.31
51.86
53.25
54.59
51.52
53.69
54.4
55.12
55.19
54.44
54.53
54.18
54.76
55.27
55.49
55.94
56.6
56.31
56.66
57.53
57.39
57.01
57.2
56.62
55.82
54.9
55.4
55.91
56.01
55.76
55.65
55.34
55.35
55.7
55.25
55.45
55.98
56.0
55.5
55.28
55.23
54.94
54.27
54.17
54.02
54.2
53.99
55.18
56.2
55.26
56.01
56.09
57.49
57.18
57.88
57.22
57.66
59.03
57.1
55.73
