data
47.43
47.38
47.52
47.28
46.63
47.71
48.18
48.47
48.98
49.06
48.8
48.95
49.51
49.59
50.27
50.23
50.58
50.71
51.12
51.45
51.6
52.75
51.94
50.96
51.59
51.63
50.13
48.09
49.4
48.87
46.84
47.73
48.15
48.49
49.45
50.64
50.71
49.89
49.43
49.59
50.5
51.17
50.73
50.67
49.71
50.32
51.29
51.5
51.72
52.13
52.9
52.58
52.32
52.37
52.27
51.95
47.05
47.02
45.89
44.79
