data
32.97
33.26
33.87
33.89
34.05
33.94
33.64
33.87
33.81
33.78
33.17
33.5
33.68
33.24
33.21
32.84
32.37
32.19
32.99
33.26
33.28
32.75
33.02
32.87
32.9
32.95
32.9
32.7
33.07
33.15
33.14
33.71
33.53
33.5
33.53
33.71
33.5
34.07
34.0
34.35
34.37
34.7
35.0
34.38
34.92
34.93
34.76
34.75
34.94
34.83
34.93
35.29
35.29
35.08
35.07
35.07
34.85
35.48
35.6
34.8
