data
43.51
43.9
43.49
44.05
44.19
43.9
43.4
42.69
42.86
41.89
42.68
43.04
42.42
43.16
42.98
43.4
43.99
43.36
43.89
43.93
43.84
44.1
44.11
43.77
43.78
43.88
43.73
43.89
43.82
44.03
43.38
43.61
43.8
42.38
42.69
41.82
41.47
41.62
42.38
43.41
42.87
44.13
44.16
44.41
44.25
43.71
42.93
42.99
42.64
43.44
42.94
42.62
42.96
42.96
43.11
43.2
43.51
43.08
42.73
43.99
