data
38.48
38.05
38.95
38.7
38.74
40.22
40.61
41.48
41.61
41.38
40.75
40.97
40.62
40.7
40.97
40.91
41.16
41.07
40.53
40.75
39.97
40.36
40.39
40.42
41.31
41.24
41.02
41.24
41.06
41.1
40.99
40.7
40.78
40.65
40.85
40.33
39.86
40.3
39.68
39.29
39.23
39.41
39.36
40.02
39.65
39.82
39.61
39.97
39.6
39.47
39.41
39.18
39.9
40.13
39.95
40.07
40.2
40.26
38.66
39.1
