data
24.26
24.29
23.66
22.94
22.66
22.72
23.045
23.09
23.0
23.02
22.84
22.41
22.42
22.25
22.51
22.02
21.845
22.62
22.48
22.92
24.265
24.14
24.33
25.05
25.11
25.38
25.74
25.36
27.48
27.491
26.82
27.2
27.12
26.96
26.95
27.19
27.1695
26.85
27.235
26.9
27.3
27.58
27.69
28.0
27.85
27.95
28.6
28.33
28.9
29.23
28.64
28.82
28.9925
28.84
28.63
28.7
29.36
29.38
29.13
29.5325
