seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
30,15,6,1,0.40987523848360236,0.3535301387310028,0.2878100623687108,0.5611566305160522,187.2723083,4.9311833
30,15,6,2,0.40790550817142834,0.3290191888809204,0.2762482017278671,0.5343213677406311,185.8031464,4.8000240
30,15,6,3,0.34904489463025873,0.2416267991065979,0.2488647053639094,0.44665029644966125,182.3818665,3.5154498
30,15,6,4,0.2814962701363997,0.17745883762836456,0.23016357918580374,0.3786373734474182,190.8098145,4.5526700
30,15,6,5,0.2693300186233087,0.15809573233127594,0.214475246767203,0.3552284836769104,183.4598236,3.4431682
30,15,6,6,0.25692813911221246,0.1536668837070465,0.21233185877402624,0.3445275127887726,166.7098694,2.7215116
30,15,6,7,0.23819381946867163,0.14855214953422546,0.20489805936813354,0.3371238708496094,177.9847565,3.8834245
30,15,6,8,0.24190515957095407,0.11855103075504303,0.20387348781029382,0.297136515378952,172.7701416,3.3366640
30,15,6,9,0.21538272432305597,0.14254236221313477,0.20457938065131506,0.32730796933174133,168.2735138,3.3696949
30,15,6,10,0.23270347308028827,0.1365291029214859,0.20484640200932822,0.3186628520488739,171.0700226,3.3984089
