seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
20,10,4,1,0.14532254822552204,0.24679172039031982,0.1976471816500028,0.4525162875652313,16.7238121,5.6171036
20,10,4,2,0.13449901777009168,0.16254736483097076,0.14924364661177,0.36201202869415283,13.7461739,5.3008385
20,10,4,3,0.12062770376602809,0.2549777030944824,0.20561052796741328,0.4765913486480713,15.7164154,6.1653447
20,10,4,4,0.10804993410905202,0.1236516460776329,0.12749086568752924,0.3003494143486023,12.4323072,4.6701241
20,10,4,5,0.08790661487728357,0.12535342574119568,0.11566056807835896,0.28789597749710083,10.7213316,3.6502590
20,10,4,6,0.09166310013582309,0.10211776196956635,0.10897606114546458,0.271940141916275,12.0640392,4.1227012
20,10,4,7,0.08035600169872244,0.11784174293279648,0.10598739733298619,0.29844290018081665,9.0772266,2.9911671
20,10,4,8,0.07941098604351282,0.08949653804302216,0.10514251266916592,0.2591984272003174,10.2169619,3.9101298
20,10,4,9,0.08247625672568877,0.10744365304708481,0.10514371034999688,0.26871368288993835,12.4172592,3.4886043
20,10,4,10,0.07821692495296399,0.11196546256542206,0.10530543699860573,0.28257906436920166,11.1087408,3.4845307
