seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
20,10,4,1,0.21137817141910395,0.048321835696697235,0.34082378695408505,0.17222128808498383,7.4714327,1.4192845
20,10,4,2,0.1753097033749024,0.049095895141363144,0.3498307466506958,0.17750951647758484,10.4361048,2.1123850
20,10,4,3,0.16961132548749447,0.03583679348230362,0.31515076756477356,0.15854497253894806,7.5567112,1.6343497
20,10,4,4,0.16931012459099293,0.03406018018722534,0.3428340454896291,0.14727449417114258,7.2994380,1.5426880
20,10,4,5,0.16917989092568556,0.03356649726629257,0.2825463463862737,0.15327662229537964,5.3918591,1.0618113
20,10,4,6,0.1727573356280724,0.02357669733464718,0.2962975303332011,0.12340253591537476,8.8098946,1.7581795
20,10,4,7,0.16240403180321059,0.03487413376569748,0.3031086524327596,0.15337753295898438,6.8255978,1.8105085
20,10,4,8,0.1578858569264412,0.025595497339963913,0.3075934201478958,0.12629900872707367,9.7108889,2.0884337
20,10,4,9,0.16583703986058632,0.044436417520046234,0.3090924521287282,0.17469698190689087,10.2310944,1.7909650
20,10,4,10,0.15777991339564323,0.03484285622835159,0.3101957117517789,0.1547207236289978,7.9593749,1.3707463
