seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
20,10,4,1,0.31777360290288925,0.2964490056037903,0.5545708189407984,0.4528859555721283,28.6202660,5.8104024
20,10,4,2,0.2574370801448822,0.1797751635313034,0.5782510191202164,0.35662445425987244,24.3115463,4.2422609
20,10,4,3,0.24207080528140068,0.1996813267469406,0.5943454951047897,0.3890171945095062,23.2177258,4.5921073
20,10,4,4,0.2358003662278255,0.1828419417142868,0.5270243138074875,0.36731499433517456,14.5130825,3.2317424
20,10,4,5,0.1953030868122975,0.10368089377880096,0.41044310480356216,0.2616572976112366,14.1470699,3.3254526
20,10,4,6,0.1765981155137221,0.08051535487174988,0.2823994929591815,0.23058007657527924,19.2836323,3.5675056
20,10,4,7,0.15208497208853564,0.057768311351537704,0.2841615950067838,0.18583707511425018,15.6263161,3.7971058
20,10,4,8,0.14733788277953863,0.050155170261859894,0.272737277050813,0.1830865442752838,25.1363373,4.0361981
20,10,4,9,0.1484879224250714,0.06772564351558685,0.25911680857340497,0.21279534697532654,15.3698502,3.0283556
20,10,4,10,0.14682416431605816,0.08379335701465607,0.2517550587654114,0.23786012828350067,10.5991249,2.6577265
