seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
50,25,10,1,1.2594813307126362,15.637224197387695,1.9323618412017822,3.8390913009643555,116.6096344,11.8268070
50,25,10,2,1.0317547983593411,12.48046588897705,1.086829125881195,3.452820301055908,103.6146622,11.3226767
50,25,10,3,0.9731723070144653,13.670628547668457,1.31328547000885,3.601060628890991,110.3743668,11.4517984
50,25,10,4,0.936935199631585,13.929040908813477,1.1651638547579448,3.66670823097229,105.2828674,11.2138081
50,25,10,5,0.9119521909289889,13.217172622680664,1.122703532377879,3.5623421669006348,104.9821854,11.1792393
50,25,10,6,0.9169009261661105,13.012123107910156,1.10440597931544,3.5381054878234863,106.7335587,11.5277138
50,25,10,7,0.8887639774216546,13.05012035369873,1.0985450446605682,3.543229341506958,106.5954666,11.2153273
50,25,10,8,0.9014458523856269,12.823290824890137,1.0872902969519298,3.501035213470459,103.8020248,11.2938042
50,25,10,9,0.9030092491043938,12.377516746520996,1.0859226783116658,3.4511547088623047,106.2774811,11.4311419
50,25,10,10,0.9158488247129652,13.178388595581055,1.0846283733844757,3.5595555305480957,105.9323654,11.2644196
