seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
50,25,10,1,0.8965053823259141,4.913646697998047,1.3962899446487427,2.1737895011901855,73.8760147,11.4313431
50,25,10,2,0.7545489205254449,5.2599639892578125,1.5587190389633179,2.2429916858673096,78.8425522,11.1803017
50,25,10,3,0.7147784498002794,4.430327415466309,1.2108053068319957,2.0476601123809814,73.2808609,11.4260035
50,25,10,4,0.6703242494000329,4.912807464599609,1.1788445313771565,2.170393466949463,72.5689468,11.8215914
50,25,10,5,0.5658375322818756,4.805856227874756,1.1278679768244426,2.126544952392578,71.6848907,11.5619669
50,25,10,6,0.5188035203350915,4.57115364074707,1.058617075284322,2.066892147064209,73.9444122,11.7727509
50,25,10,7,0.4696676797337002,4.434764862060547,1.0317290127277374,2.030247688293457,72.3736267,12.0235996
50,25,10,8,0.5052617523405287,4.274280071258545,1.017401451865832,1.9893041849136353,68.5599136,11.1874313
50,25,10,9,0.4812751180595822,4.137200355529785,1.011967067917188,1.9497504234313965,72.2061462,11.3642626
50,25,10,10,0.4907628628942702,4.440107822418213,1.009261503815651,2.0436811447143555,71.7348557,11.8631716
