seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
40,20,8,1,1.5901872873306275,1.9208524227142334,1.5480962991714478,1.2709619998931885,182.2192535,6.1247888
40,20,8,2,1.5556875348091126,2.3116798400878906,1.6293943524360657,1.4216909408569336,189.2818756,6.6076179
40,20,8,3,1.3349905967712403,1.9081701040267944,1.5535267392794292,1.297805666923523,197.0562744,7.3870025
40,20,8,4,1.294430238008499,2.2639760971069336,1.6767857174078624,1.4383878707885742,192.8750000,7.4860053
40,20,8,5,1.2055185914039612,1.8364919424057007,1.5274650553862255,1.2733328342437744,194.9863129,6.2287774
40,20,8,6,1.0925299942493438,1.712202787399292,1.4865541358788807,1.2286968231201172,191.8545990,6.7845712
40,20,8,7,1.0712109625339508,1.6377910375595093,1.4457704027493794,1.1844704151153564,189.6315002,5.6183009
40,20,8,8,1.0401871502399445,1.5789258480072021,1.445587158203125,1.1691101789474487,187.3454437,5.9735446
40,20,8,9,1.0427886128425599,1.5616118907928467,1.446369821826617,1.1622074842453003,186.7386169,6.1146884
40,20,8,10,1.010527002811432,1.4971859455108643,1.440161367257436,1.1366031169891357,193.8540192,6.4423461
