seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
20,10,4,1,0.09950631360212962,0.060674041509628296,0.04792598728090525,0.1939927041530609,1.7884566,3.4476459
20,10,4,2,0.07026504414776961,0.047914057970047,0.04321581001083056,0.1557159125804901,1.9401911,3.5035644
20,10,4,3,0.06931206956505775,0.05188514292240143,0.047902350624402366,0.1721736639738083,1.5523546,3.0560181
20,10,4,4,0.07168875277663271,0.03604571521282196,0.04228236060589552,0.12313445657491684,1.5466202,3.3846767
20,10,4,5,0.05128245474770665,0.04666106402873993,0.03658759935448567,0.14799468219280243,1.4167730,2.6611066
20,10,4,6,0.06300404698898394,0.028525460511446,0.03618272766470909,0.1125834584236145,1.6684266,3.4211829
20,10,4,7,0.05307372007519007,0.052441827952861786,0.03662760307391485,0.17291739583015442,1.0440755,2.2353265
20,10,4,8,0.05366819282062352,0.03026849776506424,0.036168208656211696,0.11951747536659241,1.6743885,3.2028341
20,10,4,9,0.05379427899606526,0.0381339006125927,0.035585518926382065,0.12705206871032715,2.0522909,3.2727981
20,10,4,10,0.05477583967149258,0.03199514374136925,0.03533069913585981,0.11639592051506042,1.5922242,2.7098181
20,10,4,11,0.0534734515628467,0.05731381103396416,0.03531085172047218,0.18041031062602997,1.5740354,2.7477384
20,10,4,12,0.054138102723906435,0.025265639647841454,0.03508292635281881,0.10814201831817627,1.4164704,2.5903821
20,10,4,13,0.050873590943713985,0.030078183859586716,0.0350907938554883,0.11694253981113434,1.6542157,3.0010900
20,10,4,14,0.053881564332793154,0.022236516699194908,0.035014900689323745,0.09778419137001038,1.3046343,2.6426990
20,10,4,15,0.05392702886213859,0.03880056366324425,0.03501539211720228,0.133021280169487,1.9297624,3.0657368
20,10,4,16,0.05460182701547941,0.04665815457701683,0.035004922188818455,0.15799307823181152,1.3773985,2.5969944
20,10,4,17,0.05592501792125404,0.04044590890407562,0.03511326185738047,0.14064767956733704,1.7950045,3.2129283
20,10,4,18,0.05695944589873155,0.04415883868932724,0.03494924368957678,0.13995634019374847,1.3012969,2.3173065
20,10,4,19,0.055249222088605165,0.015500575304031372,0.03505422299106916,0.07814044505357742,1.2864842,2.7061632
20,10,4,20,0.05462066689506173,0.027900464832782745,0.0351393804885447,0.11543673276901245,1.4676553,3.1764615
