seq_len,label_len,pred_len,Epoch,Train Loss,Vali Loss,Test Loss,MAE Loss,SMAPE,MASE
10,5,2,1,0.04341718575988825,0.06501970440149307,0.09541386552155018,0.21834862232208252,3.0915833,3.2333903
10,5,2,2,0.0422854064605557,0.1161792017519474,0.1635274845175445,0.2820708379149437,3.8663406,2.7361901
10,5,2,3,0.043032913110577144,0.0800819881260395,0.11893720272928476,0.23498517274856567,2.6372659,1.9569467
10,5,2,4,0.041620893977009334,0.08672730624675751,0.11769211804494262,0.246898353099823,4.6122956,3.6018889
10,5,2,5,0.036071267981941886,0.05158282816410065,0.06843081233091652,0.19460461288690567,2.9776700,3.2144666
10,5,2,6,0.029443490605514783,0.027072077617049217,0.03380085830576718,0.13876912742853165,1.9044124,2.5012159
10,5,2,7,0.02556213141920475,0.021848825737833977,0.02476759604178369,0.11597591266036034,1.9324952,1.5162379
10,5,2,8,0.02505174744874239,0.019908274989575148,0.022070012520998716,0.10380347445607185,2.1417394,2.2625229
10,5,2,9,0.025944389761067353,0.02176860487088561,0.021810613572597504,0.11313129961490631,1.6641561,1.3061833
10,5,2,10,0.026892555089524157,0.020240298472344875,0.02179221692495048,0.10637511685490608,1.2326298,1.8489051
10,5,2,11,0.026513064118961874,0.02183416299521923,0.02174444537376985,0.1128634363412857,1.8529673,1.7172402
10,5,2,12,0.026968206780461166,0.0201868936419487,0.021660059632267803,0.10612384229898453,1.3376352,1.4643275
10,5,2,13,0.023589835717127874,0.021382523700594902,0.02154399733990431,0.11043190211057663,2.5980012,1.9915074
10,5,2,14,0.025417603015039977,0.02177478466182947,0.021578876418061554,0.11368843168020248,1.7930772,1.9171332
10,5,2,15,0.024346632309831105,0.02183830551803112,0.02165851613972336,0.11434179171919823,2.1408134,1.6420848
10,5,2,16,0.028115344377091296,0.019101331010460854,0.021598971157800406,0.10552297532558441,2.6221390,1.6416081
10,5,2,17,0.024673736081100427,0.021372355055063963,0.021590136631857604,0.11116250604391098,1.3373854,1.7382416
10,5,2,18,0.029021318679532178,0.021469462662935257,0.02161993196932599,0.1108875498175621,1.8055094,1.5018885
10,5,2,19,0.024180232403943173,0.021540711633861065,0.021609717281535268,0.11090300232172012,2.4744821,1.6329899
10,5,2,20,0.023044817292919524,0.021104441955685616,0.021607328613754362,0.10958149284124374,2.0884993,1.6557497
